,Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
0,49,Male,PhD,Divorced,72799.0,688.0,45713.0,Business,Unemployed,19,Poor,0.1543132963127006,120228.0,0.0,Port Elizabeth,AS,Cyprus,2.0,2,Low
2,21,Non-binary,Master's,Single,55687.0,600.0,36623.0,Home,Employed,8,Fair,0.3623980173254608,180700.0,3.0,South Scott,OK,Luxembourg,3.0,2,Medium
3,59,Male,Bachelor's,Single,26508.0,622.0,26541.0,Personal,Unemployed,2,Excellent,0.4549643807337948,157319.0,3.0,Robinhaven,PR,Uganda,4.0,2,Medium
4,25,Non-binary,Bachelor's,Widowed,49427.0,766.0,36528.0,Personal,Unemployed,10,Fair,0.1432424240204613,287140.0,0.0,New Heather,IL,Namibia,3.0,1,Low
9,55,Male,Bachelor's,Married,32190.0,600.0,29918.0,Personal,Self-employed,5,Excellent,0.4843333045593678,130507.0,4.0,Davidstad,VT,Thailand,0.0,2,Low
10,42,Non-binary,Master's,Single,116212.0,707.0,24771.0,Home,Employed,11,Excellent,0.1141337475982952,212198.0,3.0,Matthewborough,NH,French Guiana,0.0,2,Medium
13,68,Male,High School,Divorced,79454.0,688.0,43365.0,Personal,Self-employed,15,Good,0.3292815438503654,61967.0,0.0,Dakotafurt,IA,Grenada,3.0,0,Medium
16,55,Male,High School,Married,70978.0,706.0,36970.0,Personal,Unemployed,19,Excellent,0.2669409092504,54041.0,3.0,Christophermouth,MO,Tonga,1.0,0,Medium
19,56,Non-binary,PhD,Married,21084.0,702.0,22039.0,Personal,Employed,19,Fair,0.2310463740003128,226053.0,2.0,East James,MP,Isle of Man,0.0,2,Medium
24,55,Female,High School,Divorced,61811.0,641.0,43859.0,Auto,Self-employed,18,Excellent,0.1997070863614007,185670.0,0.0,Aprilland,NH,Uruguay,0.0,0,Low
27,41,Male,PhD,Married,93133.0,791.0,14052.0,Business,Employed,13,Poor,0.2828500570626953,82774.0,0.0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1.0,0,Low
32,48,Non-binary,PhD,Married,46408.0,632.0,48403.0,Personal,Unemployed,16,Excellent,0.1853253064176966,93647.0,3.0,South Jason,KS,Guyana,1.0,0,Low
37,57,Female,Master's,Single,54754.0,604.0,11947.0,Home,Self-employed,13,Good,0.2874185935603742,282006.0,0.0,Berryland,VT,Thailand,2.0,0,High
39,47,Female,High School,Single,33065.0,783.0,6895.0,Auto,Self-employed,2,Fair,0.1166809155307733,158428.0,3.0,West Sharon,AL,Seychelles,2.0,0,Low
41,35,Female,High School,Single,101496.0,715.0,16971.0,Home,Employed,17,Fair,0.5337873095239466,271400.0,1.0,Michaelburgh,TX,Anguilla,0.0,0,Medium
44,21,Male,Bachelor's,Widowed,73952.0,631.0,49525.0,Auto,Unemployed,3,Excellent,0.1436440906212159,32912.0,0.0,West Denisebury,KY,French Guiana,1.0,2,Low
49,65,Male,PhD,Widowed,77146.0,796.0,38386.0,Business,Self-employed,17,Fair,0.3231863863545411,262145.0,0.0,Johnsonside,LA,Vietnam,4.0,1,Medium
52,39,Non-binary,PhD,Single,93509.0,703.0,16651.0,Auto,Unemployed,5,Fair,0.5285823483026814,270036.0,0.0,North Joshuaborough,MI,Falkland Islands (Malvinas),0.0,0,Medium
55,29,Male,Bachelor's,Divorced,85164.0,710.0,14441.0,Personal,Unemployed,2,Poor,0.257828552554541,64687.0,1.0,South Austinhaven,HI,Niue,0.0,0,Medium
56,47,Male,High School,Widowed,119747.0,613.0,26507.0,Business,Self-employed,10,Good,0.4649248298887921,221402.0,0.0,Rickymouth,CO,Sao Tome and Principe,1.0,0,Medium
60,36,Male,Bachelor's,Divorced,29868.0,635.0,12521.0,Auto,Employed,17,Excellent,0.3504541332462523,240325.0,2.0,Wendyshire,ND,Dominica,4.0,0,Low
61,36,Female,Master's,Married,68776.0,612.0,47707.0,Personal,Unemployed,11,Fair,0.3323967910462594,68491.0,0.0,Port Christopher,NY,Brunei Darussalam,1.0,1,Low
62,54,Female,Bachelor's,Married,98669.0,720.0,19464.0,Business,Unemployed,2,Poor,0.1679040914919637,26571.0,0.0,Smithview,IA,French Polynesia,1.0,0,High
63,19,Non-binary,Master's,Single,112545.0,712.0,15503.0,Home,Unemployed,7,Poor,0.2521728540168538,194154.0,0.0,Ibarraport,NJ,Zimbabwe,4.0,0,Low
64,39,Non-binary,PhD,Widowed,118717.0,647.0,10656.0,Home,Self-employed,12,Poor,0.1856345037643098,168504.0,1.0,Dennismouth,WY,Serbia,0.0,2,Low
67,44,Non-binary,PhD,Widowed,51280.0,750.0,22162.0,Home,Employed,11,Excellent,0.5501304950345566,87579.0,3.0,East Danielmouth,AS,Haiti,1.0,2,Medium
70,65,Male,Master's,Divorced,106526.0,650.0,23161.0,Auto,Employed,19,Poor,0.5448673968438962,98025.0,4.0,Richardbury,ID,Armenia,0.0,0,Low
74,36,Non-binary,Bachelor's,Widowed,37105.0,720.0,33259.0,Home,Employed,7,Fair,0.4127770276358516,294048.0,2.0,Yvonneland,NY,Brunei Darussalam,3.0,1,Medium
80,38,Non-binary,Master's,Divorced,82093.0,726.0,20454.0,Home,Self-employed,5,Good,0.1902219589365449,39434.0,2.0,East Brian,PW,South Africa,0.0,0,High
81,39,Female,Master's,Widowed,100015.0,615.0,23114.0,Business,Unemployed,14,Poor,0.4846424905205113,85309.0,0.0,New Meganshire,NV,French Polynesia,3.0,0,Low
82,50,Female,Master's,Divorced,96293.0,708.0,21552.0,Auto,Employed,3,Excellent,0.1293942097228341,255942.0,4.0,Port Amy,FM,Egypt,0.0,1,Low
86,38,Non-binary,Bachelor's,Single,48069.0,670.0,17841.0,Home,Unemployed,17,Excellent,0.1575191271408829,241550.0,2.0,Jacksonmouth,WA,Jordan,0.0,2,Low
88,35,Female,PhD,Married,72433.0,792.0,5747.0,Business,Self-employed,4,Good,0.3273739345775527,112076.0,0.0,Andreaborough,NC,Thailand,3.0,2,Low
91,22,Non-binary,Master's,Widowed,65266.0,617.0,34746.0,Home,Unemployed,18,Poor,0.2689442806281806,40215.0,4.0,Taylormouth,ND,Botswana,1.0,1,Low
92,40,Male,Master's,Widowed,98578.0,663.0,8747.0,Auto,Self-employed,1,Good,0.5146706368606976,37396.0,0.0,Jacobview,WV,Russian Federation,0.0,1,Low
93,39,Male,High School,Married,90227.0,770.0,18079.0,Business,Employed,3,Poor,0.5187589537006945,163838.0,1.0,South Brianna,GU,Mali,0.0,1,Low
94,31,Non-binary,High School,Divorced,107081.0,740.0,18101.0,Business,Employed,5,Poor,0.1087938171262242,25157.0,2.0,Gordonbury,AL,Ukraine,1.0,2,Low
95,45,Female,High School,Widowed,82878.0,748.0,17023.0,Auto,Self-employed,19,Poor,0.5849112572624202,192705.0,4.0,Penamouth,NH,Ethiopia,4.0,1,Low
98,19,Male,High School,Married,35817.0,731.0,44426.0,Home,Unemployed,1,Fair,0.5054597465036814,20626.0,1.0,East Triciatown,WI,Angola,0.0,2,Low
100,36,Female,High School,Married,65104.0,699.0,44260.0,Home,Employed,2,Excellent,0.3377617250479925,135458.0,4.0,Zacharyhaven,NM,Guatemala,2.0,2,Low
101,43,Male,PhD,Married,109698.0,793.0,46500.0,Personal,Self-employed,11,Good,0.3478511554395459,159076.0,0.0,Tristanland,AZ,United States Minor Outlying Islands,1.0,1,Medium
102,23,Male,Bachelor's,Single,28906.0,724.0,24532.0,Business,Unemployed,3,Poor,0.500613650535156,96640.0,2.0,Lake Evelynstad,CA,Monaco,0.0,0,Low
